property_description,id,owner,listing_type,date,price,no_of_reviews,neighbourhood,latitude,longitude
Orchard Road Cosy Apartment,8277838,Ong,Home,10/7/23,110,12,River Valley,1.29763,103.83921
One of a kind Penthouse in Novena by Homes SG,20126837,Homes Sg,Not Home,15/8/23,251,64,Novena,1.32401,103.84902
2BR perfect for work and leisure,2532366,Quinn,Home,7/8/23,250,23,Outram,1.28674,103.84073
Peaceful Haven in Central Location,8061522,Reon,Home,7/1/23,240,23,Tanglin,1.31579,103.83026
Cozy condo Singapore City Centre min 3 months stay,12702541,Patro,Home,12/8/23,240,26,Rochor,1.30216,103.84699
【CITY】Luxury Condo 1 min walk to TanJong Pagar MRT,23801615,Lia,Home,16/8/23,266,29,Outram,1.27637,103.84355
Super Big Master room,7523671,Jay,Not Home,9/2/23,256,96,Downtown Core,1.27377,103.84523
Super Big Penthouse - Master room S2-3,8909347,Jay,Not Home,27/5/23,256,53,Downtown Core,1.27396,103.84523
Entire Home in the Heart of City,5889741,Y,Home,22/8/23,257,235,Rochor,1.30086,103.85439
Ocean view  Master Room in Penthouse,7537301,Jay,Not Home,14/7/23,169,37,Downtown Core,1.27843,103.84614
Penthouse Master Room,7537692,Jay,Not Home,3/8/23,169,32,Outram,1.27829,103.84485
Penthouse Master Room S2-5,8909442,Jay,Not Home,4/6/23,169,25,Downtown Core,1.27429,103.84519
Raffles Master Room,7536368,Jay,Not Home,1/5/23,160,11,Downtown Core,1.274,103.84603
Common Room,7537485,Jay,Not Home,21/7/23,150,30,Downtown Core,1.2745,103.84656
Spacious double room + private bath in town CBD,6826957,Michael,Not Home,28/7/23,125,74,Singapore River,1.28777,103.84907
Cozy & Stylish City Apartment (Suite IV),12372365,Mike,Home,24/8/23,93,20,Novena,1.31629,103.84463
2-Bedroom Apartment - Tanjong Pagar,9549885,Uncharted Homes,Home,20/8/23,260,11,Downtown Core,1.27323,103.84563
Orchard studio-looking for long term lease only,23625923,Amy,Home,11/8/23,131,14,River Valley,1.29867,103.8326
YOUSHOULDSTAYHERE-3BR-MT E hospital,6206621,Apollo,Home,8/12/23,300,26,Novena,1.32734,103.84433
Marina Bay Iconic Luxury 1-Bed Apt,8508225,Sam,Home,31/7/23,250,32,Downtown Core,1.28051,103.85327
(Central-Novena) Semi-Detached House Near Subway,7311328,Chi Siang,Home,20/9/23,219,142,Novena,1.31898,103.84614
3 Bedroom @ River Valley SG,30297882,Aaron,Home,15/7/23,258,14,River Valley,1.29593,103.83641
LARGE Not Home NEAR THE ORCHARD CITY CENTRE,9567575,Sara,Not Home,11/8/23,65,61,Orchard,1.30471,103.82582
Modern 3 bedroom flat in orchard shopping mall,26633522,Sunny,Home,16/8/23,201,11,River Valley,1.2984,103.84121
Central Business Studio Apartment Balcony Seaview,25034490,Yan,Home,11/7/23,181,23,Downtown Core,1.27869,103.84986
3 BedRoom Near Toa Payoh MRT 1,8541582,Aaron,Home,11/7/23,268,23,Novena,1.3285,103.84524
"SGCT26-3: Up Chinatown MRT,WIFI,Aircon",4969304,MyCity,Not Home,1/7/23,58,168,Outram,1.28361,103.84276
Heritage Apartment Room near Orchard,395231,Adi,Not Home,13/8/23,56,27,River Valley,1.29345,103.83562
Luxurious Penthouse In City Centre 1,13809823,Jenny,Not Home,11/8/23,167,23,Tanglin,1.293,103.82962
City Ctr_RiverValley/GreatWorldCity,4271250,YongXing9688,Home,28/2/23,160,230,Tanglin,1.29377,103.82844
Superhost 1BR APT in the heart of Tg Pagar,20672785,Jay,Home,3/8/23,147,16,Downtown Core,1.27481,103.84522
Leisure Studio APT 5 mins from Tg Pagar MRT,16701352,Jay,Home,22/6/23,144,34,Downtown Core,1.2735,103.84527
